"Reserv. No","Reserv. Date","Begin Hour","End Hour","Payment Method","Total Amount","Payment Time"
445,'2024-08-26,22:00,23:00,Cash,50,"'2024-08-20 14:51:30"
444,'2024-08-26,12:00,13:00,Cash,80,"'2024-08-20 14:42:09"
436,'2024-08-26,14:00,15:00,Cash,50,"'2024-08-20 14:25:54"
435,'2024-08-26,11:00,12:00,Cash,50,"'2024-08-20 14:24:47"
424,'2024-08-25,14:00,15:00,Cash,100,"'2024-08-20 13:45:04"
420,'2024-08-25,8:00,9:00,Cash,100,"'2024-08-20 13:29:33"
419,'2024-08-25,8:00,9:00,Cash,80,"'2024-08-20 13:28:36"
418,'2024-08-25,9:00,10:00,Cash,100,"'2024-08-20 13:27:28"
404,'2024-08-24,15:00,16:00,Cash,100,"'2024-08-19 22:24:22"
,
"Total Payment:","HKD $ 710"
Transactions:,9,record(s)
