"Reserv. No","Reserv. Date","Begin Hour","End Hour","Payment Method","Total Amount","Payment Time"
477,'2024-08-25,8:00,9:00,Cash,200,"'2024-08-21 11:32:53"
475,'2024-08-25,8:00,9:00,Cash,100,"'2024-08-21 11:21:46"
474,'2024-08-25,8:00,9:00,Cash,100,"'2024-08-21 11:18:13"
473,'2024-08-25,8:00,9:00,Cash,100,"'2024-08-21 11:07:29"
471,'2024-08-25,8:00,9:00,Cash,100,"'2024-08-21 10:56:57"
470,'2024-08-20,8:00,9:00,Cash,240,"'2024-08-21 10:54:28"
461,'2024-08-25,8:00,9:00,Cash,200,"'2024-08-20 22:04:47"
,
"Total Payment:","HKD $ 1040"
Transactions:,7,record(s)
