"Reserv. No","Reserv. Date","Begin Hour","End Hour","Payment Method","Total Amount","Payment Time"
3193,'2024-09-02,21:00,22:00,Cash,50,"'2024-09-02 21:06:02"
3192,'2024-09-02,21:00,22:00,Cash,50,"'2024-09-02 20:54:15"
3191,'2024-09-02,21:00,22:00,Cash,50,"'2024-09-02 20:45:17"
3190,'2024-09-02,20:00,21:00,Cash,40,"'2024-09-02 20:37:15"
3189,'2024-09-02,21:00,22:00,Cash,40,"'2024-09-02 20:36:36"
3186,'2024-09-02,20:00,21:00,Cash,50,"'2024-09-02 20:30:51"
3184,'2024-09-02,20:00,22:00,Cash,100,"'2024-09-02 20:26:47"
3180,'2024-09-02,20:00,21:00,Cash,40,"'2024-09-02 20:11:09"
3177,'2024-09-02,20:00,22:00,Cash,100,"'2024-09-02 20:07:09"
3175,'2024-09-02,20:00,21:00,Cash,50,"'2024-09-02 20:03:22"
3173,'2024-09-02,20:00,21:00,Cash,50,"'2024-09-02 19:54:22"
3172,'2024-09-02,20:00,21:00,Cash,50,"'2024-09-02 19:52:40"
3169,'2024-09-02,19:00,20:00,Cash,100,"'2024-09-02 19:34:00"
3165,'2024-09-02,19:00,20:00,Cash,50,"'2024-09-02 19:08:23"
3164,'2024-09-02,19:00,20:00,Cash,40,"'2024-09-02 19:07:45"
3161,'2024-09-02,19:00,20:00,Cash,50,"'2024-09-02 18:50:09"
3153,'2024-09-02,18:00,20:00,Cash,100,"'2024-09-02 17:47:18"
3152,'2024-09-02,18:00,19:00,Cash,50,"'2024-09-02 17:43:43"
3151,'2024-09-02,18:00,19:00,Cash,100,"'2024-09-02 17:43:16"
3150,'2024-09-02,18:00,19:00,Cash,50,"'2024-09-02 17:37:20"
3144,'2024-09-02,17:00,18:00,Cash,50,"'2024-09-02 17:14:50"
3139,'2024-09-02,18:00,19:00,Cash,50,"'2024-09-02 17:03:42"
3137,'2024-09-02,17:00,18:00,Cash,50,"'2024-09-02 17:01:47"
3136,'2024-09-02,18:00,19:00,Cash,80,"'2024-09-02 16:58:21"
3135,'2024-09-02,17:00,18:00,Cash,80,"'2024-09-02 16:57:58"
3131,'2024-09-02,18:00,19:00,Cash,50,"'2024-09-02 16:52:38"
3130,'2024-09-02,17:00,18:00,Cash,50,"'2024-09-02 16:52:13"
3127,'2024-09-02,17:00,18:00,Cash,50,"'2024-09-02 16:48:14"
3124,'2024-09-02,17:00,18:00,Cash,50,"'2024-09-02 16:46:07"
3123,'2024-09-02,17:00,19:00,Cash,100,"'2024-09-02 16:41:45"
3121,'2024-09-02,17:00,18:00,Cash,50,"'2024-09-02 16:37:04"
3119,'2024-09-02,17:00,18:00,Cash,50,"'2024-09-02 16:35:18"
3117,'2024-09-02,17:00,18:00,Cash,50,"'2024-09-02 16:29:53"
3109,'2024-09-02,16:00,17:00,Cash,40,"'2024-09-02 16:07:25"
3104,'2024-09-02,17:00,18:00,Cash,40,"'2024-09-02 15:59:50"
3103,'2024-09-02,16:00,17:00,Cash,50,"'2024-09-02 15:57:35"
3102,'2024-09-02,16:00,17:00,Cash,50,"'2024-09-02 15:55:32"
3099,'2024-09-02,16:00,17:00,Cash,50,"'2024-09-02 15:50:18"
3094,'2024-09-02,16:00,17:00,Cash,50,"'2024-09-02 15:29:22"
3086,'2024-09-02,16:00,17:00,Cash,50,"'2024-09-02 15:15:36"
3084,'2024-09-02,16:00,17:00,Cash,50,"'2024-09-02 15:03:07"
3083,'2024-09-02,15:00,16:00,Cash,50,"'2024-09-02 15:02:57"
3082,'2024-09-02,15:00,16:00,Cash,50,"'2024-09-02 15:01:13"
3081,'2024-09-02,15:00,17:00,Cash,100,"'2024-09-02 14:58:23"
3080,'2024-09-02,15:00,16:00,Cash,50,"'2024-09-02 14:56:20"
3079,'2024-09-02,16:00,17:00,Cash,50,"'2024-09-02 14:55:58"
3078,'2024-09-02,16:00,17:00,Cash,50,"'2024-09-02 14:55:43"
3077,'2024-09-02,15:00,16:00,Cash,50,"'2024-09-02 14:55:19"
3069,'2024-09-02,15:00,16:00,Cash,50,"'2024-09-02 14:43:05"
3068,'2024-09-02,15:00,17:00,Cash,100,"'2024-09-02 14:42:07"
3066,'2024-09-02,15:00,16:00,Cash,50,"'2024-09-02 14:26:28"
3065,'2024-09-02,15:00,17:00,Cash,100,"'2024-09-02 14:22:32"
3064,'2024-09-02,14:00,15:00,Cash,50,"'2024-09-02 14:21:56"
3063,'2024-09-02,15:00,16:00,Cash,50,"'2024-09-02 14:17:36"
3055,'2024-09-02,14:00,15:00,Cash,100,"'2024-09-02 13:49:33"
3054,'2024-09-02,14:00,16:00,Cash,100,"'2024-09-02 13:49:32"
3053,'2024-09-02,14:00,16:00,Cash,100,"'2024-09-02 13:48:45"
3052,'2024-09-02,14:00,15:00,Cash,50,"'2024-09-02 13:47:54"
3051,'2024-09-02,14:00,15:00,Cash,50,"'2024-09-02 13:44:51"
3049,'2024-09-02,14:00,15:00,Cash,50,"'2024-09-02 13:37:53"
3038,'2024-09-02,13:00,15:00,Cash,100,"'2024-09-02 12:56:03"
3036,'2024-09-02,13:00,14:00,Cash,50,"'2024-09-02 12:54:22"
3033,'2024-09-02,13:00,14:00,Cash,50,"'2024-09-02 12:51:08"
3031,'2024-09-02,13:00,15:00,Cash,100,"'2024-09-02 12:50:35"
3029,'2024-09-02,13:00,14:00,Cash,50,"'2024-09-02 12:47:56"
3027,'2024-09-02,13:00,15:00,Cash,100,"'2024-09-02 12:43:28"
3026,'2024-09-02,14:00,16:00,Cash,200,"'2024-09-02 12:38:11"
,
"Total Payment:","HKD $ 4250"
Transactions:,67,record(s)
