"Reserv. No","Reserv. Date","Begin Hour","End Hour","Payment Method","Total Amount","Payment Time"
557,'2024-08-26,8:00,9:00,Cash,50,"'2024-08-22 20:25:32"
555,'2024-08-26,8:00,9:00,Cash,50,"'2024-08-22 17:22:48"
539,'2024-08-21,9:00,10:00,Cash,40,"'2024-08-22 16:23:27"
540,'2024-08-25,8:00,9:00,Cash,100,"'2024-08-22 16:15:33"
537,'2024-08-25,8:00,9:00,Cash,100,"'2024-08-22 16:06:51"
534,'2024-08-25,8:00,9:00,Cash,100,"'2024-08-22 16:05:44"
531,'2024-08-25,9:00,10:00,Cash,100,"'2024-08-22 15:58:06"
530,'2024-08-26,8:00,9:00,Cash,50,"'2024-08-22 15:52:21"
524,'2024-08-26,8:00,9:00,Cash,50,"'2024-08-22 15:32:29"
,
"Total Payment:","HKD $ 640"
Transactions:,9,record(s)
